2026-01-25 19:15:10 | llm_router | INFO | Detected intent: segment_analysis
2026-01-25 19:15:30 | llm_router | INFO | Detected intent: segment_analysis
2026-01-25 19:53:41 | llm_router | INFO | Detected intent: segment_analysis
2026-01-25 20:13:15 | llm_router | INFO | Detected intent: segment_analysis
2026-01-25 20:13:15 | llm_router | WARNING | Retrieval failed: No module named 'pandas.api.internals'
2026-01-25 22:08:25 | llm_router | INFO | Detected intent: segment_analysis
2026-01-25 22:08:25 | llm_router | WARNING | Retrieval failed: No module named 'pandas.api.internals'
2026-01-25 22:11:31 | llm_router | INFO | Detected intent: general_help
2026-01-25 22:11:31 | llm_router | WARNING | Retrieval failed: No module named 'pandas.api.internals'
2026-01-28 12:59:39 | llm_router | INFO | Detected intent: member_nba
2026-01-28 13:01:23 | llm_router | INFO | Detected intent: member_nba
2026-01-28 13:01:33 | llm_router | INFO | Detected intent: member_nba
2026-01-28 13:13:04 | llm_router | INFO | RI_DEBUG_ECHO=1 → skipping retrieval/LLM, echoing query
2026-01-28 13:13:27 | llm_router | INFO | RI_DEBUG_ECHO=1 → skipping retrieval/LLM, echoing query
2026-01-28 13:27:21 | llm_router | INFO | Detected intent: member_nba
2026-01-28 13:27:47 | llm_router | INFO | Detected intent: member_nba
2026-01-28 13:28:48 | llm_router | INFO | Detected intent: member_nba
2026-01-28 13:37:34 | llm_router | INFO | Detected intent: member_nba
2026-01-28 13:42:01 | llm_router | INFO | RI_DEBUG_ECHO=1 → skipping retrieval/LLM, echoing query
2026-01-28 13:43:49 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:30:40 | llm_router | INFO | answer_query start, member=1234
2026-01-31 07:30:40 | llm_router | INFO | Flags: debug_echo=False, disable_retrieval=True, disable_ollama=True, disable_member_recos=True
2026-01-31 07:30:40 | llm_router | INFO | Detected intent: member_nba
2026-01-31 07:30:40 | llm_router | INFO | Skipping member recos load (RI_DISABLE_MEMBER_RECOS=1)
2026-01-31 07:30:40 | llm_router | INFO | Retrieval disabled via RI_DISABLE_RETRIEVAL
2026-01-31 07:30:40 | llm_router | INFO | Building messages for intent=member_nba
2026-01-31 07:30:40 | llm_router | INFO | Messages built; count=2
